,ID,Original Requirement,Corrected Requirement
0,,"WHILE VehSpd is within [0 kph, 250 kph], THE SYSTEM SHALL process the VehSpd value within [50 ms].","WHILE VehSpd is within [0 kph, 250 kph], THE SYSTEM SHALL read and validate the VehSpd value within 50 milliseconds of its availability."
1,,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.","IF VehSpd > 250 kph, THEN THE SYSTEM SHALL detect F_OOR_HI_VehSpd within [10 ms]"
2,,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.","IF VehSpd > 250 kph, THEN THE SYSTEM SHALL react within [10 ms]"
3,,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.","IF VehSpd > 250 kph, THEN THE SYSTEM SHALL set DTC_101_VSPD_OOR_HI"
4,,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.","IF VehSpd > 250 kph, THEN THE SYSTEM SHALL transition to safe state"
5,,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF VehSpd < 0 kph, THEN THE SYSTEM SHALL detect F_OOR_LO_VehSpd within 10 ms"
6,,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF VehSpd < 0 kph, THEN THE SYSTEM SHALL react within 10 ms"
7,,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF VehSpd < 0 kph, THEN THE SYSTEM SHALL set DTC_101_VSPD_OOR_LO"
8,,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF VehSpd < 0 kph, THEN THE SYSTEM SHALL transition to safe state"
9,,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL detect F_TO_VehSpd within [10 ms]"
10,,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL react within [10 ms]"
11,,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL set DTC_101_VSPD_TO"
12,,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL transition to safe state"
13,,"IF VehSpd AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_ALC - transition to safe state.","WHEN VehSpd AliveCounter remains unchanged for 3 consecutive cycles, THEN the system shall detect F_ALC_VehSpd within 10 ms."
14,,"IF VehSpd AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_ALC - transition to safe state.","WHEN VehSpd AliveCounter remains unchanged for 3 consecutive cycles, THEN the system shall react within 10 ms."
15,,"IF VehSpd AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_ALC - transition to safe state.","WHEN VehSpd AliveCounter remains unchanged for 3 consecutive cycles, THEN the system shall set DTC_101_VSPD_ALC."
16,,"IF VehSpd AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_ALC - transition to safe state.","WHEN VehSpd AliveCounter remains unchanged for 3 consecutive cycles, THEN the system shall transition to a safe state."
17,,"IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_CRC - transition to safe state.","IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL detect F_CRC_VehSpd within [10 ms]"
18,,"IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_CRC - transition to safe state.","IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL react within [10 ms]"
19,,"IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_CRC - transition to safe state.","IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL set DTC_101_VSPD_CRC"
20,,"IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_CRC - transition to safe state.","IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL transition to safe state"
